customer_id,Predicted_Churn,Churn_Probability,Risk_Level
7590-VHVEG,Yes,0.6137166684624746,Medium Risk
5575-GNVDE,No,0.044497268505193935,Low Risk
3668-QPYBK,No,0.2991854209877763,Low Risk
7795-CFOCW,No,0.028452076052963633,Low Risk
9237-HQITU,Yes,0.6915804859296764,Medium Risk
9305-CDSKC,Yes,0.7963087122309375,High Risk
1452-KIOVK,No,0.4876637864368744,Medium Risk
6713-OKOMC,No,0.2932798463096159,Low Risk
7892-POOKP,Yes,0.623626069686717,Medium Risk
6388-TABGU,No,0.010513055458526209,Low Risk
9763-GRSKD,No,0.2065826740081281,Low Risk
7469-LKBCI,No,0.02757918051609104,Low Risk
8091-TTVAX,No,0.18066534797152436,Low Risk
0280-XJGEX,No,0.4337476455959407,Medium Risk
5129-JLPIS,No,0.46268074047008656,Medium Risk
3655-SNQYZ,No,0.03251429360830206,Low Risk
8191-XWSZG,No,0.0105725561153447,Low Risk
9959-WOFKT,No,0.04314460949397039,Low Risk
4190-MFLUW,No,0.1548629535643567,Low Risk
4183-MYFRB,Yes,0.5624059120446318,Medium Risk
8779-QRDMV,Yes,0.7260977232433724,High Risk
1680-VDCWW,No,0.06298436950864955,Low Risk
1066-JKSGK,No,0.19326631658794113,Low Risk
3638-WEABW,No,0.016843634884989057,Low Risk
6322-HRPFA,No,0.025327208109377705,Low Risk
6865-JZNKO,No,0.11164375692022013,Low Risk
6467-CHFZW,No,0.4942831825545138,Medium Risk
8665-UTDHZ,No,0.4709238067573555,Medium Risk
5248-YGIJN,No,0.0159742470690332,Low Risk
8773-HHUOZ,No,0.35334278770365707,Low Risk
3841-NFECX,No,0.028699199069721227,Low Risk
4929-XIHVW,Yes,0.7295119641701302,High Risk
6827-IEAUQ,No,0.03002117836325691,Low Risk
7310-EGVHZ,No,0.18183039506463972,Low Risk
3413-BMNZE,No,0.3684392887753656,Low Risk
6234-RAAPL,No,0.020184990551513793,Low Risk
6047-YHPVI,Yes,0.6757236271254372,Medium Risk
6572-ADKRS,No,0.25354611524236337,Low Risk
5380-WJKOV,Yes,0.6185293144069184,Medium Risk
8168-UQWWF,Yes,0.7167100309177118,High Risk
8865-TNMNX,No,0.11501611099480895,Low Risk
9489-DEDVP,No,0.012145713680933272,Low Risk
9867-JCZSP,No,0.04337101995631748,Low Risk
4671-VJLCL,No,0.013804172748534231,Low Risk
4080-IIARD,No,0.3063492972959589,Low Risk
3714-NTNFO,No,0.4537669109461799,Medium Risk
5948-UJZLF,No,0.3082422183223092,Low Risk
7760-OYPDY,Yes,0.7360906916422543,High Risk
7639-LIAYI,No,0.03247375112214184,Low Risk
2954-PIBKO,No,0.007056265460540801,Low Risk
8012-SOUDQ,Yes,0.5137669442192564,Medium Risk
